views,likes,dislikes,comments,engagement_rate,sentiment_score,like_to_view_ratio,comment_to_view_ratio,like_to_comment_ratio,like_to_dislike_ratio,log_views,log_likes,log_comments,engagement_intensity,views_outlier,likes_outlier,comments_outlier,engagement_label
45455,2282,35,17,0.0505774942250577,0.5215700972337949,0.0502023935234072,0.0003739880323829,126.77777777777776,65.2,10.72450010409397,7.733245646529795,2.8903717578961645,0.050576381555790216,False,False,False,0
2063667,98804,11682,11443,0.0534228632817213,0.1225543951389924,0.0478778563218502,0.0055449810725368,8.63369451240825,8.457798322205102,14.539995539932226,11.500903489742903,9.345220854170002,0.05342283739438708,False,False,False,0
2736733,58967,3492,7915,0.0244386281014625,0.541934359909122,0.0215464857015698,0.0028921334700412,7.449090449722082,16.88631156930126,14.822275796599115,10.984750202869124,8.976641306722456,0.024438619171611126,False,False,False,0
165698,8599,361,930,0.0575082378785501,-0.0124088072712185,0.0518953041358125,0.0056125866782539,9.236305048335124,23.81994459833795,12.017928168393427,9.0595174822416,6.836259277277067,0.05750789081406647,False,False,False,0
836544,40195,373,976,0.049215582204881,0.0454656587639881,0.0480488198483046,0.0011667035246161,41.14124872057318,107.76139410187668,13.637035593538894,10.601522767168849,6.884486652042782,0.04921552337292076,False,False,False,0
284666,16396,81,949,0.0609310560446277,-0.1449179632829007,0.0575971222516132,0.0033337197497426,17.25894736842105,202.41975308641975,12.559075355062099,9.704853670249868,6.856461984594587,0.06093084200135597,False,False,False,0
3371669,202676,3394,20086,0.0660687629776232,-0.9491617465118096,0.06011145812016,0.0059572852621994,10.08990889630109,59.71596935769004,15.030918728546132,12.219368857822515,9.907828118634548,0.06606874338235949,False,False,False,0
195685,14338,171,1070,0.0787387893808927,-0.7842171460133911,0.0732704434655519,0.0054679435422053,13.3874883286648,83.84795321637426,12.184266612756726,9.57073837671504,6.976348070447749,0.07873838700775733,False,False,False,0
1098897,43875,1326,4702,0.0442052348855261,-0.9371416286265316,0.0399263625923425,0.0042788320663064,9.329151605358282,33.088235294117645,13.90981841743154,10.689122752531224,8.455955881945048,0.04420519465864894,False,False,False,0
893462,22326,833,943,0.0260436369985517,0.2728208225275608,0.0249881640314148,0.0010554438180428,23.65042372881356,26.801920768307323,13.702860202539528,10.013551987398436,6.8501261661455,0.02604360784945767,False,False,False,0
225286,1731,193,206,0.0085979599264934,-0.3712880378473466,0.0076835325606892,0.0009143892013298,8.36231884057971,8.968911917098445,12.325130423912258,7.4570320891223805,5.332718793265369,0.008597921762019114,False,False,False,0
264793,3283,853,0,0.0123983640050907,0.0171413823294055,0.0123983171824134,0.0,3283.0,3.8487690504103167,12.486707444178007,8.096817470572319,0.0,0.012398317182413498,False,False,False,0
5476737,286268,4083,12254,0.0545072732176111,0.815132947852186,0.0522698000159949,0.0022374632491092,23.359281925744597,70.11217242223854,15.516020226214868,12.564687207193678,9.413689295962213,0.054507263265104154,False,False,False,0
3578502,307435,2573,12248,0.0893343080428626,-0.5014155417022501,0.0859116228210511,0.0034226602576552,25.09878357416932,119.48503692188108,15.090455114500525,12.636022214485338,9.413199579987685,0.08933428307870638,False,False,False,1
304926,3305,130,275,0.011740553445754,-0.1792341539287405,0.0108386597447913,0.0009018551981293,11.97463768115942,25.423076923076923,12.627827682679845,8.10349427838097,5.62040086571715,0.011740514942920765,False,False,False,0
247319,10138,153,639,0.0435753015336468,0.5111022770860973,0.040991428109332,0.0025836972343522,15.840625,66.26143790849673,12.418438323672506,9.22414465295258,6.461468176353717,0.043575125343684296,False,False,False,0
296434,3327,142,377,0.0124951928591187,-0.5424036690167551,0.0112233710594228,0.0012717796481522,8.801587301587302,23.429577464788732,12.599583249103457,8.1101268019411,5.934894195619588,0.012495150707575016,False,False,False,0
125962,5048,139,369,0.0430050332640002,-0.846040180342414,0.0400752601954542,0.0029294316585028,13.643243243243242,36.31654676258993,11.743743492016128,8.526945482858915,5.91350300563827,0.04300469185395711,False,False,False,0
419341,53572,168,3083,0.1351048430752061,-0.4204970941724639,0.1277525265773521,0.0073519943149028,17.37094682230869,318.8809523809524,12.946442095087388,10.888800488800355,8.03398273468322,0.135104520892255,False,False,False,0
138988,7999,84,612,0.0619549889199067,-0.6775574254919912,0.0575513170106986,0.0044032261545877,13.048939641109298,95.22619047619048,11.842150072290709,8.987196820661973,6.418364935936212,0.06195454316528646,False,False,False,0
1774018,88417,1002,7686,0.0541725055777337,0.8593953046851461,0.0498399397075228,0.0043325353336125,11.50214648107194,88.24051896207585,14.388758152053608,11.389830847807517,8.947285869349132,0.05417247504113541,False,False,False,0
1575525,52829,1524,5864,0.0372529791656749,0.6162407591288339,0.0335310239247083,0.003721931596178,9.007502131287298,34.66469816272966,14.270099742740854,10.874834490158362,8.676757761087575,0.03725295552088636,False,False,False,0
626688,25115,499,1392,0.0422969643586601,0.2668075130208469,0.0400756994298607,0.0022211974360488,18.02943287867911,50.33066132264529,13.348205683800865,10.131260372234,7.239214973779806,0.04229689686590957,False,False,False,0
